TOP.5ad9a820.000e1a7e	START
TOP.5b0fe07e.000e3bc9	user_options->attack_mode	0
TOP.5b0fe07e.000e3bc9	user_options->benchmark	0
TOP.5b0fe07e.000e3bc9	user_options->benchmark_all	0
TOP.5b0fe07e.000e3bc9	user_options->bitmap_max	24
TOP.5b0fe07e.000e3bc9	user_options->bitmap_min	16
TOP.5b0fe07e.000e3bc9	user_options->debug_mode	0
TOP.5b0fe07e.000e3bc9	user_options->example_hashes	0
TOP.5b0fe07e.000e3bc9	user_options->force	0
TOP.5b0fe07e.000e3bc9	user_options->gpu_temp_abort	90
TOP.5b0fe07e.000e3bc9	user_options->gpu_temp_disable	0
TOP.5b0fe07e.000e3bc9	user_options->hash_mode	3000
TOP.5b0fe07e.000e3bc9	user_options->hex_charset	0
TOP.5b0fe07e.000e3bc9	user_options->hex_salt	0
TOP.5b0fe07e.000e3bc9	user_options->hex_wordlist	0
TOP.5b0fe07e.000e3bc9	user_options->increment	0
TOP.5b0fe07e.000e3bc9	user_options->increment_max	256
TOP.5b0fe07e.000e3bc9	user_options->increment_min	1
TOP.5b0fe07e.000e3bc9	user_options->keep_guessing	0
TOP.5b0fe07e.000e3bc9	user_options->kernel_accel	0
TOP.5b0fe07e.000e3bc9	user_options->kernel_loops	0
TOP.5b0fe07e.000e3bc9	user_options->keyspace	0
TOP.5b0fe07e.000e3bc9	user_options->left	0
TOP.5b0fe07e.000e3bc9	user_options->logfile_disable	0
TOP.5b0fe07e.000e3bc9	user_options->loopback	0
TOP.5b0fe07e.000e3bc9	user_options->machine_readable	0
TOP.5b0fe07e.000e3bc9	user_options->markov_classic	0
TOP.5b0fe07e.000e3bc9	user_options->markov_disable	0
TOP.5b0fe07e.000e3bc9	user_options->markov_threshold	256
TOP.5b0fe07e.000e3bc9	user_options->nvidia_spin_damp	100
TOP.5b0fe07e.000e3bc9	user_options->opencl_info	0
TOP.5b0fe07e.000e3bc9	user_options->opencl_vector_width	0
TOP.5b0fe07e.000e3bc9	user_options->optimized_kernel_enable	0
TOP.5b0fe07e.000e3bc9	user_options->outfile_autohex	1
TOP.5b0fe07e.000e3bc9	user_options->outfile_check_timer	5
TOP.5b0fe07e.000e3bc9	user_options->outfile_format	3
TOP.5b0fe07e.000e3bc9	user_options->wordlist_autohex_disable	0
TOP.5b0fe07e.000e3bc9	user_options->potfile_disable	0
TOP.5b0fe07e.000e3bc9	user_options->progress_only	0
TOP.5b0fe07e.000e3bc9	user_options->quiet	0
TOP.5b0fe07e.000e3bc9	user_options->remove	0
TOP.5b0fe07e.000e3bc9	user_options->remove_timer	60
TOP.5b0fe07e.000e3bc9	user_options->restore	0
TOP.5b0fe07e.000e3bc9	user_options->restore_disable	0
TOP.5b0fe07e.000e3bc9	user_options->restore_timer	60
TOP.5b0fe07e.000e3bc9	user_options->rp_files_cnt	1
TOP.5b0fe07e.000e3bc9	user_options->rp_gen	0
TOP.5b0fe07e.000e3bc9	user_options->rp_gen_func_max	4
TOP.5b0fe07e.000e3bc9	user_options->rp_gen_func_min	1
TOP.5b0fe07e.000e3bc9	user_options->rp_gen_seed	0
TOP.5b0fe07e.000e3bc9	user_options->runtime	0
TOP.5b0fe07e.000e3bc9	user_options->scrypt_tmto	0
TOP.5b0fe07e.000e3bc9	user_options->segment_size	33554432
TOP.5b0fe07e.000e3bc9	user_options->self_test_disable	0
TOP.5b0fe07e.000e3bc9	user_options->show	0
TOP.5b0fe07e.000e3bc9	user_options->speed_only	0
TOP.5b0fe07e.000e3bc9	user_options->status	0
TOP.5b0fe07e.000e3bc9	user_options->status_timer	10
TOP.5b0fe07e.000e3bc9	user_options->stdout_flag	0
TOP.5b0fe07e.000e3bc9	user_options->usage	0
TOP.5b0fe07e.000e3bc9	user_options->username	0
TOP.5b0fe07e.000e3bc9	user_options->veracrypt_pim	0
TOP.5b0fe07e.000e3bc9	user_options->version	0
TOP.5b0fe07e.000e3bc9	user_options->workload_profile	2
TOP.5b0fe07e.000e3bc9	hashes->hashfile	sam.txt
TOP.5b0fe07e.000e3bc9	hashes->hashlist_mode	4
TOP.5b0fe07e.000e3bc9	hashes->hashlist_format	1
TOP.5b0fe07e.000e3bc9	hashes->hashes_cnt	0
TOP.5b0fe07e.000e3bc9	hashes->digests_cnt	14
TOP.5b0fe07e.000e3bc9	hashes->digests_done	0
TOP.5b0fe07e.000e3bc9	hashes->salts_cnt	1
TOP.5b0fe07e.000e3bc9	hashes->salts_done	0
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	START
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	straight_ctx->dict	password.lst
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	rulefile	rules\Incisive-leetspeak.rule
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	runtime_start	1527767170
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	runtime_stop	1527767240
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	status-after-work	5
TOP.5b0fe07e.000e3bc9	SUB.5b0fe082.00061287	STOP
TOP.5b0fe07e.000e3bc9	proc_start	1527767166
TOP.5b0fe07e.000e3bc9	proc_stop	1527767244
TOP.5b0fe07e.000e3bc9	STOP
TOP.5b0fe3b0.000a364f	START
TOP.5b0fe3b0.000a364f	user_options->separator	:
TOP.5b0fe3b0.000a364f	user_options->encoding_from	utf-8
TOP.5b0fe3b0.000a364f	user_options->encoding_to	utf-8
TOP.5b0fe3b0.000a364f	user_options->rp_files[0]	rules\Incisive-leetspeak.rule
TOP.5b0fe3b0.000a364f	user_options->rule_buf_l	:
TOP.5b0fe3b0.000a364f	user_options->rule_buf_r	:
TOP.5b0fe3b0.000a364f	user_options->session	hashcat
TOP.5b0fe3b0.000a364f	user_options->limit	0
TOP.5b0fe3b0.000a364f	user_options->skip	0
TOP.5b0fe3b0.000a364f	user_options->attack_mode	0
TOP.5b0fe3b0.000a364f	user_options->benchmark	0
TOP.5b0fe3b0.000a364f	user_options->benchmark_all	0
TOP.5b0fe3b0.000a364f	user_options->bitmap_max	24
TOP.5b0fe3b0.000a364f	user_options->bitmap_min	16
TOP.5b0fe3b0.000a364f	user_options->debug_mode	0
TOP.5b0fe3b0.000a364f	user_options->example_hashes	0
TOP.5b0fe3b0.000a364f	user_options->force	0
TOP.5b0fe3b0.000a364f	user_options->gpu_temp_abort	90
TOP.5b0fe3b0.000a364f	user_options->gpu_temp_disable	0
TOP.5b0fe3b0.000a364f	user_options->hash_mode	1000
TOP.5b0fe3b0.000a364f	user_options->hex_charset	0
TOP.5b0fe3b0.000a364f	user_options->hex_salt	0
TOP.5b0fe3b0.000a364f	user_options->hex_wordlist	0
TOP.5b0fe3b0.000a364f	user_options->increment	0
TOP.5b0fe3b0.000a364f	user_options->increment_max	256
TOP.5b0fe3b0.000a364f	user_options->increment_min	1
TOP.5b0fe3b0.000a364f	user_options->keep_guessing	0
TOP.5b0fe3b0.000a364f	user_options->kernel_accel	0
TOP.5b0fe3b0.000a364f	user_options->kernel_loops	0
TOP.5b0fe3b0.000a364f	user_options->keyspace	0
TOP.5b0fe3b0.000a364f	user_options->left	0
TOP.5b0fe3b0.000a364f	user_options->logfile_disable	0
TOP.5b0fe3b0.000a364f	user_options->loopback	0
TOP.5b0fe3b0.000a364f	user_options->machine_readable	0
TOP.5b0fe3b0.000a364f	user_options->markov_classic	0
TOP.5b0fe3b0.000a364f	user_options->markov_disable	0
TOP.5b0fe3b0.000a364f	user_options->markov_threshold	256
TOP.5b0fe3b0.000a364f	user_options->nvidia_spin_damp	100
TOP.5b0fe3b0.000a364f	user_options->opencl_info	0
TOP.5b0fe3b0.000a364f	user_options->opencl_vector_width	0
TOP.5b0fe3b0.000a364f	user_options->optimized_kernel_enable	0
TOP.5b0fe3b0.000a364f	user_options->outfile_autohex	1
TOP.5b0fe3b0.000a364f	user_options->outfile_check_timer	5
TOP.5b0fe3b0.000a364f	user_options->outfile_format	3
TOP.5b0fe3b0.000a364f	user_options->wordlist_autohex_disable	0
TOP.5b0fe3b0.000a364f	user_options->potfile_disable	0
TOP.5b0fe3b0.000a364f	user_options->progress_only	0
TOP.5b0fe3b0.000a364f	user_options->quiet	0
TOP.5b0fe3b0.000a364f	user_options->remove	0
TOP.5b0fe3b0.000a364f	user_options->remove_timer	60
TOP.5b0fe3b0.000a364f	user_options->restore	0
TOP.5b0fe3b0.000a364f	user_options->restore_disable	0
TOP.5b0fe3b0.000a364f	user_options->restore_timer	60
TOP.5b0fe3b0.000a364f	user_options->rp_files_cnt	1
TOP.5b0fe3b0.000a364f	user_options->rp_gen	0
TOP.5b0fe3b0.000a364f	user_options->rp_gen_func_max	4
TOP.5b0fe3b0.000a364f	user_options->rp_gen_func_min	1
TOP.5b0fe3b0.000a364f	user_options->rp_gen_seed	0
TOP.5b0fe3b0.000a364f	user_options->runtime	0
TOP.5b0fe3b0.000a364f	user_options->scrypt_tmto	0
TOP.5b0fe3b0.000a364f	user_options->segment_size	33554432
TOP.5b0fe3b0.000a364f	user_options->self_test_disable	0
TOP.5b0fe3b0.000a364f	user_options->show	0
TOP.5b0fe3b0.000a364f	user_options->speed_only	0
TOP.5b0fe3b0.000a364f	user_options->status	0
